N,Key,Operation,Probe Count,Traverse count
93,437323693,Insert,1,9
94,57349178,Insert,1,7
95,341802695,Insert,1,9
96,1110972612,Insert,1,9
97,786879350,Insert,1,6
98,1349308379,Insert,1,7
99,1062240158,Insert,1,9
100,41167215,Insert,1,4
101,92058526,Insert,1,7
102,1060952887,Insert,1,10
103,326566574,Search,1,10
104,1144984152,Insert,1,7
105,81487920,Insert,1,8
106,832058427,Insert,1,6
107,1034881720,Search,1,11
108,1650471209,Insert,1,5
109,1859695608,Insert,1,7
110,700963484,Insert,1,11
111,1214169545,Insert,1,6
112,1115773447,Insert,1,10
113,853845678,Insert,1,9
114,1573807229,Insert,1,6
115,483207884,Insert,1,10
116,1479682492,Search,1,4
117,730805230,Search,1,10
118,799664037,Insert,1,7
119,21778406,Insert,1,5
120,37754375,Insert,1,6
121,523030718,Insert,1,11
122,926506420,Insert,1,10
123,724937100,Insert,1,12
124,617904366,Insert,1,8
125,1471299298,Insert,1,4
126,1349308379,Search,1,8
127,670415039,Insert,1,9
128,1514643568,Search,1,4
129,686083324,Insert,1,11
130,1908622991,Insert,1,7
131,727764217,Insert,1,13
132,1471763787,Search,1,5
133,1027886019,Insert,1,11
134,1049874686,Search,1,12
135,292221288,Search,1,5
136,872111955,Insert,1,10
137,1514643568,Insert,1,4
138,229710751,Insert,1,8
139,1934352113,Insert,1,7
140,1555810783,Insert,1,7
141,321769277,Insert,2,10
142,847821352,Insert,1,7
143,553311287,Insert,1,11
144,507496305,Search,1,12
145,403257197,Insert,1,10
146,1679879779,Insert,1,6
147,56298848,Insert,1,8
148,1127327573,Search,1,11
149,115469157,Insert,1,10
150,739004792,Search,1,7
151,233359615,Insert,1,9
152,1270468393,Insert,1,8
153,1231242604,Insert,1,7
154,145262310,Search,1,11
155,1087205293,Insert,1,10
156,696791974,Insert,1,12
157,1714450488,Insert,1,4
158,1886869330,Insert,1,8
159,718570381,Insert,1,13
160,1752204863,Insert,1,6
161,262416401,Insert,1,3
162,1645076801,Insert,1,7
163,329658315,Insert,1,11
164,880320767,Insert,1,11
165,968892451,Insert,1,11
166,1678256714,Search,1,7
167,1000073355,Insert,1,12
168,1566404091,Insert,1,8
169,730031794,Insert,1,10
170,1727837572,Insert,1,5
171,446806463,Insert,1,11
172,1602143749,Insert,1,8
173,1785530394,Search,1,8
174,1094997492,Insert,1,11
175,676517214,Insert,1,12
176,1389012214,Insert,2,8
177,503324627,Insert,1,11
178,998286491,Insert,1,13
179,89349918,Insert,1,9
180,1056635914,Insert,1,12
181,1713974420,Search,1,5
182,837273018,Search,1,8
183,1648566238,Search,1,8
184,1401543688,Insert,1,9
185,552485733,Search,1,12
186,1769229697,Insert,1,7
187,1112934763,Insert,1,11
188,1267743808,Search,1,9
189,1517012845,Insert,1,4
190,1919453215,Search,1,6
191,240206237,Search,1,7
192,1975736015,Search,1,7
193,2002589313,Insert,1,7
194,235919508,Insert,1,7
195,600771801,Insert,1,10
196,1535184811,Search,1,5
197,942310958,Insert,1,12
198,932711483,Insert,1,13
199,167738641,Insert,1,10
200,681696641,Insert,1,13
201,1052511827,Search,1,13
202,1651281864,Insert,1,7
203,1919943504,Insert,1,7
204,944113042,Insert,1,13
205,1055951381,Search,1,13
206,1333594780,Search,1,9
207,1148875017,Insert,1,8
208,102118172,Insert,1,6
209,1824433809,Insert,1,5
210,2117767468,Insert,1,6
211,1102191527,Insert,1,12
212,487483929,Search,1,12
213,1243354253,Insert,2,8
214,700315614,Insert,1,13
215,682545451,Insert,1,14
216,1690160716,Insert,1,7
217,154975715,Insert,1,11
218,1777542944,Insert,1,8
219,219194282,Insert,1,9
220,1543987929,Insert,1,5
221,1777140859,Search,1,9
222,133383923,Insert,1,11
223,1217480773,Insert,1,8
224,1868766573,Search,1,8
225,1633337847,Insert,1,9
226,1190019838,Insert,1,9
227,471540813,Insert,1,12
228,1376179911,Search,1,9
229,1255083896,Insert,1,9
230,155470953,Insert,1,12
231,1886189096,Search,1,9
232,2074377833,Search,1,8
233,1988553658,Insert,1,8
234,905441288,Search,1,11
235,1110189561,Insert,1,10
236,391390461,Insert,1,11
237,441841811,Insert,1,12
238,2052500520,Insert,1,8
239,152511017,Search,1,12
240,1324101944,Insert,2,9
241,609580452,Insert,1,11
242,808743192,Search,1,8
243,586713513,Insert,1,12
244,827900160,Insert,1,8
245,382040308,Insert,1,12
246,1530826555,Insert,1,6
247,1976775177,Insert,1,9
248,484158480,Insert,1,12
249,576498380,Search,1,13
250,1207776716,Insert,1,7
251,1947058997,Insert,1,10
252,1586350007,Insert,1,9
253,1482346285,Search,1,5
254,1271702354,Search,1,10
255,303647321,Insert,1,7
256,499890963,Insert,1,13
257,121411811,Insert,1,12
258,1993808037,Insert,1,9
259,654866678,Insert,1,10
260,1898954755,Insert,1,9
261,65518671,Insert,1,8
262,51370959,Insert,1,9
263,2032338678,Insert,1,5
264,1274487073,Search,1,10
265,1282999444,Insert,1,10
266,1684708806,Insert,1,8
267,1074874868,Insert,1,11
268,1754540257,Insert,1,8
269,792309055,Insert,1,7
270,1230345821,Insert,1,9
271,1595610267,Insert,1,10
272,257109600,Search,1,4
273,1902498616,Insert,1,10
274,1621736283,Insert,1,10
275,2037452078,Insert,1,6
276,1807515488,Insert,1,6
277,798354579,Insert,1,8
278,499548882,Insert,1,14
279,246745353,Insert,1,8
280,1626254740,Insert,1,11
281,881589191,Insert,1,12
282,1777571908,Insert,1,9
283,436033348,Search,1,11
284,500657056,Search,1,14
285,1455546269,Insert,1,5
286,1365747671,Insert,1,9
287,837864977,Insert,1,8
288,1255121619,Insert,1,10
289,804614031,Insert,1,9
290,1141512298,Insert,1,8
291,1755012582,Insert,1,9
292,926025842,Insert,1,11
293,987836688,Insert,1,14
294,262395613,Insert,1,4
295,515333967,Search,1,12
296,313821396,Search,1,11
297,505905164,Search,1,12
298,1678493764,Search,1,8
299,677496949,Insert,1,14
300,1053355359,Insert,1,13
301,313766572,Insert,1,11
302,562351979,Insert,1,13
303,283650374,Search,1,6
304,188871156,Insert,1,10
305,1998475379,Insert,1,10
306,1637226848,Insert,1,10
307,1943411413,Insert,1,11
308,1133743242,Search,1,9
309,643300786,Insert,1,11
310,720089021,Insert,1,14
311,1391538033,Insert,1,10
312,131246088,Search,1,13
313,398315754,Insert,1,12
314,194341656,Insert,1,11
315,1281506463,Insert,1,11
316,58347595,Insert,1,9
317,992696236,Insert,2,15
318,1781055346,Insert,1,8
319,305092948,Insert,1,8
320,471467328,Insert,1,13
321,1681837716,Search,1,9
322,1294051196,Search,1,11
323,405431899,Search,1,11
324,515160889,Insert,1,12
325,2082664857,Insert,1,9
326,1927013597,Insert,1,8
327,1880908560,Insert,1,9
328,773046186,Insert,1,7
329,1034651568,Insert,1,14
330,538038943,Insert,1,12
331,1914558484,Insert,1,8
332,642180503,Insert,1,12
333,1464064785,Insert,1,6
334,754911524,Insert,1,8
335,904576116,Insert,1,10
336,2141561734,Insert,1,6
337,2104091241,Search,1,7
338,1808266884,Insert,1,7
339,919280634,Search,1,12
340,1218342688,Insert,1,10
341,556430066,Insert,1,14
342,1997138040,Insert,1,11
343,1069334419,Insert,1,12
344,1920567539,Search,1,8
345,46173266,Insert,1,5
346,1793065805,Insert,1,7
347,1712635205,Insert,1,5
348,766262287,Insert,1,9
349,1846910097,Search,1,6
350,2038037241,Search,1,7
351,1037120190,Insert,1,15
352,2018291347,Search,1,7
353,92678032,Search,1,8
354,2110950960,Insert,1,7
355,960603944,Insert,1,14
356,171143006,Insert,1,11
357,21814907,Insert,1,7
358,1953300180,Insert,1,11
359,1952198352,Insert,1,12
360,326907855,Insert,1,12
361,277283860,Insert,1,6
362,319875593,Insert,1,12
363,262089064,Insert,1,5
364,1999228268,Search,1,11
365,56813809,Insert,1,9
366,53300505,Insert,1,10
367,820559055,Search,1,10
368,1035135250,Insert,1,16
369,1946707177,Search,1,12
370,1091465378,Insert,1,12
371,591339449,Insert,1,13
372,802210087,Insert,1,10
373,2011312671,Search,1,8
374,1345172209,Search,1,10
375,1733645881,Insert,1,6
376,2055404234,Insert,1,10
377,1557121611,Insert,1,9
378,490738349,Insert,1,15
379,2049482321,Insert,1,9
380,1217904847,Insert,1,11
381,1969960002,Search,1,12
382,1709081037,Insert,1,5
383,458428739,Insert,1,14
384,1067559239,Insert,1,13
385,849203143,Search,1,8
386,630931809,Insert,1,13
387,1532958122,Search,1,7
388,504602005,Insert,1,12
389,713141397,Insert,1,14
390,196083366,Insert,1,12
391,707212753,Search,1,15
392,1270864292,Insert,1,12
393,1385327886,Search,1,10
394,1750261587,Insert,1,7
395,159550678,Insert,1,13
396,83984588,Insert,1,10
397,1921404593,Insert,1,8
398,181365585,Insert,1,12
399,2037284768,Insert,1,7
400,1726119297,Insert,1,6
401,508273441,Insert,1,13
402,167084980,Insert,1,14
403,2045994890,Insert,1,10
404,770362505,Insert,1,10
405,223898790,Insert,1,10
406,2099295396,Insert,1,8
407,1652892286,Search,1,8
408,1805497756,Insert,1,8
409,1315364168,Insert,1,11
410,543151197,Insert,1,13
411,460224195,Insert,1,15
412,901526401,Insert,1,11
413,451071783,Insert,1,15
414,824480929,Search,1,10
415,2017345806,Insert,1,7
416,1392264750,Insert,1,11
417,353070456,Insert,1,10
418,1087767006,Insert,1,13
419,953862139,Insert,1,15
420,811499195,Insert,1,10
421,7842597,Insert,1,6
422,1584793948,Insert,1,10
423,677298130,Search,1,15
424,1316101200,Insert,1,12
425,720983994,Insert,1,15
426,1780877315,Insert,1,9
427,439481845,Insert,1,13
428,323761934,Insert,1,13
429,1940427993,Insert,1,12
430,523466433,Insert,1,13
431,97682879,Insert,1,6
432,2121793579,Insert,1,6
433,919665502,Search,1,12
434,413267554,Insert,1,11
435,479239508,Search,1,13
436,1823802177,Insert,1,8
437,482583372,Insert,1,13
438,580352534,Insert,1,14
439,1722313419,Insert,1,7
440,1252945877,Insert,1,10
441,804251324,Insert,1,11
442,1674125167,Insert,1,8
443,910959985,Insert,1,12
444,2119615492,Insert,1,7
445,69792716,Insert,1,9
446,1371184180,Insert,1,10
447,873658245,Insert,1,12
448,520864500,Insert,1,13
449,1241046339,Insert,2,9
450,1050296646,Search,1,16
451,613222702,Search,1,12
452,118439347,Insert,1,13
453,873934956,Insert,1,13
454,181329697,Insert,1,13
455,1072301487,Insert,2,13
456,1685434152,Insert,1,9
457,981194286,Search,1,15
458,189172294,Insert,1,12
459,509611787,Insert,1,14
460,854051704,Insert,1,11
461,910156289,Insert,1,13
462,315528800,Search,1,13
463,143005454,Insert,2,12
464,1293533549,Insert,1,12
465,606290102,Search,1,12
466,1233918223,Insert,1,10
467,2083433448,Insert,1,10
468,1816999983,Insert,1,9
469,1331601102,Insert,2,10
470,2057743379,Insert,1,11
471,82783889,Insert,1,11
472,1007919631,Insert,1,12
473,392843103,Insert,1,13
474,663136423,Insert,1,11
475,1433746284,Search,1,6
476,1447303485,Search,1,6
477,582749403,Insert,1,15
478,1645788980,Insert,1,8
479,1467387748,Insert,1,7
480,430295040,Search,1,12
481,109390922,Insert,1,7
482,409265318,Insert,1,12
483,1439519592,Insert,1,6
484,179183639,Insert,1,14
485,1780449498,Insert,1,10
486,165694190,Insert,1,15
487,700048139,Insert,1,14
488,874012189,Insert,1,14
489,284133537,Insert,1,5
490,1573983095,Insert,1,11
491,1055341886,Insert,1,14
492,55315034,Search,1,11
493,1356435024,Insert,1,10
494,1086567003,Search,1,12
495,1111933599,Insert,1,12
496,1244514181,Insert,1,9
497,396024306,Search,1,14
498,1866046812,Insert,1,8
499,1965985304,Insert,1,12
500,1640153398,Search,1,11
501,7186822,Insert,1,7
502,1238344593,Search,1,11
503,2009052266,Insert,1,8
504,1112035205,Insert,1,13
505,736368107,Search,1,9
506,1241105045,Insert,1,10
507,1945002066,Insert,1,12
508,781551540,Insert,1,7
509,857751256,Search,1,12
510,425222499,Insert,1,12
511,1637015744,Search,1,11
512,1855261797,Insert,1,8
513,864335429,Insert,1,12
514,1433142131,Insert,1,7
515,1945910649,Search,1,13
516,100621252,Insert,1,7
517,1490218494,Search,1,5
518,1527471853,Insert,1,7
519,401980826,Search,1,13
520,985740981,Search,1,15
521,1949236853,Search,1,13
522,2015891534,Insert,1,9
523,1746410233,Insert,1,7
524,847375953,Insert,1,9
525,1945002066,Search,1,13
526,2125282456,Insert,1,7
527,8191903,Insert,1,7
528,139411897,Insert,1,13
529,156982447,Insert,1,14
530,1788641401,Insert,1,7
531,305106087,Insert,1,9
532,857030586,Insert,1,13
533,515169943,Insert,1,14
534,589239625,Insert,1,14
535,283530034,Insert,1,7
536,1570511829,Insert,1,9
537,1945674649,Insert,1,13
538,1096677650,Search,1,13
539,1849478706,Search,1,6
540,1395463633,Insert,1,12
541,667542362,Insert,1,12
542,1664237813,Insert,1,9
543,1213965289,Insert,1,8
544,674729184,Insert,1,13
545,462497216,Search,1,16
546,1525806432,Insert,1,8
547,178516847,Insert,1,15
548,545759433,Search,1,12
549,1915834229,Insert,1,9
550,2027709771,Search,1,8
551,1323324850,Insert,1,13
552,960068387,Insert,1,16
553,193573081,Insert,1,13
554,1031103000,Insert,1,15
555,1254177187,Search,1,11
556,1824403817,Insert,1,9
557,1626715212,Insert,2,12
558,1131724252,Insert,1,11
559,1204392022,Insert,1,10
560,1124356488,Search,2,12
561,1495123098,Insert,1,5
562,1538442186,Search,1,7
563,730650837,Insert,1,11
564,233179758,Search,1,10
565,2051767975,Insert,3,10
566,1472921906,Insert,2,5
567,281166491,Search,1,8
568,738842740,Insert,1,9
569,43696224,Insert,1,6
570,1629904354,Insert,1,13
571,1734505818,Search,1,8
572,380000494,Insert,1,13
573,348802312,Insert,1,11
574,339451292,Insert,1,12
575,662228289,Search,1,12
576,895170437,Insert,1,12
577,938041937,Insert,1,14
578,622981326,Insert,1,14
579,318198618,Insert,1,13
580,736232938,Insert,1,10
581,2018444960,Insert,1,8
582,985740981,Insert,1,15
583,685818691,Search,1,15
584,252987104,Insert,1,6
585,1596689997,Search,2,11
586,1084926601,Insert,1,12
587,1660470165,Insert,1,10
588,1778793536,Insert,1,11
589,1263443448,Insert,1,11
590,1428820747,Insert,1,8
591,954634738,Insert,1,17
592,76028188,Insert,1,10
593,1622393828,Insert,1,12
594,1205712303,Search,1,8
595,1985737738,Insert,1,10
596,457151419,Search,1,16
597,633796826,Search,1,14
598,59514737,Search,1,10
599,1900432005,Insert,1,11
600,1101625392,Insert,1,13
601,969978343,Insert,1,16
602,957340379,Insert,1,18
603,449264842,Insert,1,16
604,1700629180,Insert,1,8
605,861624706,Insert,1,14
606,2102929685,Search,1,9
607,1922186748,Insert,1,9
608,291988273,Insert,1,6
609,905320930,Insert,1,14
610,1404607454,Insert,1,8
611,1874750111,Search,1,10
612,671988767,Insert,1,10
613,1254123242,Insert,1,11
614,1728169627,Search,1,7
615,1744058747,Insert,1,8
616,1567159204,Insert,1,10
617,44681531,Insert,1,7
618,1332258110,Search,1,11
619,219556425,Insert,1,11
620,722025547,Search,1,16
621,1885357822,Insert,1,10
622,1230868407,Search,1,10
623,780914470,Insert,1,8
624,1495123098,Search,1,6
625,435393757,Search,2,13
626,1671696898,Search,1,10
627,90517737,Insert,1,10
628,723615155,Insert,1,16
629,1936685862,Search,1,8
630,1033901574,Insert,1,16
631,1175444339,Insert,1,10
632,236601673,Insert,1,9
633,665211462,Insert,1,13
634,1506931057,Search,1,6
635,291404139,Insert,1,7
636,1665422420,Insert,1,10
637,438200446,Search,1,14
638,1619846200,Insert,1,11
639,367432327,Insert,1,9
640,1140332600,Insert,1,9
641,1458100291,Insert,1,7
642,120380684,Insert,1,14
643,94474344,Insert,1,8
644,280594986,Insert,1,8
645,1077721063,Insert,1,13
646,277876133,Search,1,9
647,543739186,Insert,1,14
648,1981224166,Insert,1,11
649,1939345769,Insert,1,8
650,318442286,Insert,1,14
651,125728791,Insert,1,13
652,697183052,Insert,1,15
653,1723049741,Insert,1,8
654,335196456,Search,1,13
655,797717558,Insert,1,9
656,677859803,Search,1,15
657,1951306294,Insert,1,13
658,1319624840,Insert,1,14
659,217393114,Insert,1,13
660,1995987826,Insert,1,12
661,1539181265,Insert,1,7
662,1180925493,Search,1,11
663,978905004,Search,1,17
664,2102750937,Insert,1,9
665,629418648,Insert,2,15
666,1629699003,Insert,1,14
667,678882444,Insert,1,15
668,1663320222,Insert,1,11
669,657659694,Insert,1,12
670,915484117,Insert,1,13
671,2112567447,Search,1,8
672,181048036,Insert,1,15
673,949063833,Insert,1,16
674,433422889,Insert,1,13
675,1800894236,Insert,2,9
676,1316496161,Insert,1,15
677,1573755489,Insert,1,10
678,1122928383,Search,1,12
679,1357067176,Search,1,11
680,2063015790,Search,1,12
681,1111510879,Insert,1,13
682,1436876845,Insert,1,8
683,576498380,Search,1,15
684,1787296018,Search,1,9
685,1345172209,Search,1,11
686,1668229833,Insert,1,11
687,277876133,Search,1,9
688,1392105865,Insert,1,12
689,367114261,Insert,1,10
690,1526269348,Search,1,9
691,64485371,Insert,1,10
692,1225846384,Insert,1,11
693,158976382,Insert,1,15
694,1696563535,Search,1,9
695,382927658,Insert,1,13
696,1351575175,Insert,1,11
697,1438559456,Search,1,9
698,856159434,Insert,1,14
699,2105977399,Insert,1,10
700,1809086,Insert,1,8
701,659982081,Insert,2,13
702,1278118591,Insert,1,13
703,219202200,Insert,2,12
704,1062312051,Search,1,14
705,508486259,Insert,1,15
706,669816208,Insert,1,13
707,174469489,Insert,1,16
708,1137904907,Insert,1,10
709,2146973530,Search,1,5
710,152031563,Insert,1,13
711,1881115548,Search,1,11
712,853351934,Insert,1,8
713,653741481,Insert,1,12
714,809691257,Insert,1,11
715,1117433078,Search,1,12
716,1768836051,Insert,1,10
717,834789517,Insert,1,9
718,1758755091,Insert,1,11
719,1593036857,Search,1,11
720,54775293,Insert,1,11
721,488200105,Insert,1,16
722,927767604,Insert,1,14
723,1628530782,Insert,1,15
724,1599710985,Insert,1,11
725,217160801,Insert,1,14
726,1149276968,Insert,1,11
727,844333202,Insert,1,10
728,584275062,Insert,1,16
729,1213762339,Insert,1,9
730,2070179586,Insert,1,12
731,743251445,Insert,1,10
732,1596689997,Insert,2,12
733,559811384,Search,1,15
734,1274271114,Insert,1,14
735,1599410879,Insert,1,13
736,1555183748,Insert,1,8
737,1276080200,Insert,1,15
738,111909312,Insert,1,11
739,685818691,Insert,1,15
740,1495282400,Insert,1,6
741,620395571,Insert,1,15
742,1355634900,Insert,1,12
743,1669751890,Insert,1,12
744,1333966084,Search,1,11
745,1758300478,Insert,1,12
746,1507666463,Insert,2,7
747,375620176,Insert,1,14
748,264558311,Insert,1,4
749,1720027252,Search,1,8
750,169874073,Insert,1,12
751,2144456227,Insert,1,7
752,1335826629,Search,1,11
753,1099347828,Insert,1,14
754,1928629164,Insert,1,9
755,51747872,Insert,1,11
756,461011568,Search,1,16
757,1587547934,Insert,1,11
758,708913120,Insert,1,15
759,1680278655,Insert,1,9
760,299510643,Search,2,7
761,1039775271,Insert,1,16
762,926073921,Insert,1,12
763,682071975,Insert,1,15
764,1473667772,Search,1,6
765,1884108473,Insert,1,11
766,173636248,Search,1,17
767,1510348984,Insert,1,8
768,1895834314,Insert,1,10
769,1806804412,Insert,1,9
770,106116781,Insert,1,8
771,640205673,Search,1,14
772,1345040664,Insert,1,11
773,933591878,Insert,1,15
774,1705527660,Insert,1,6
775,752740764,Insert,1,11
776,1545488856,Search,1,6
777,62188430,Insert,1,11
778,1817436973,Insert,1,10
779,1438559456,Insert,1,9
780,1032386183,Search,1,17
781,1557470830,Insert,1,10
782,543510777,Search,1,15
783,290348896,Insert,1,8
784,932708577,Search,1,15
785,646710708,Insert,1,13
786,1079739072,Insert,1,14
787,1658465628,Search,1,11
788,2048649375,Insert,1,11
789,6893523,Insert,1,9
790,1455359248,Insert,1,7
791,256519733,Search,1,7
792,165724038,Insert,1,16
793,176767596,Insert,1,17
794,224376120,Search,1,11
795,1452331828,Insert,1,8
796,1265071867,Insert,1,12
797,2105396760,Insert,1,11
798,1504079700,Insert,1,8
799,705136153,Insert,1,16
800,412650172,Search,1,13
801,666826232,Insert,2,14
802,1036874707,Insert,1,17
803,1744911424,Insert,1,9
804,1592900154,Insert,1,12
805,1718946682,Insert,1,8
806,67053998,Search,1,9
807,1481536249,Insert,1,6
808,955765490,Insert,1,19
809,1467297349,Insert,1,8
810,1140857013,Insert,1,10
811,1536509226,Search,1,8
812,2135557648,Search,1,8
813,1061882271,Insert,1,11
814,664854365,Insert,1,14
815,2074448891,Insert,1,13
816,619926283,Insert,1,16
817,1417595129,Insert,1,6
818,2136637321,Insert,1,8
819,289879608,Insert,1,9
820,708670937,Insert,1,17
821,1546624504,Insert,1,6
822,580228505,Insert,1,15
823,1355381645,Insert,1,13
824,478879928,Insert,1,14
825,768120338,Search,1,11
826,481394232,Insert,1,15
827,1362275169,Insert,1,11
828,1934239177,Insert,1,10
829,647118270,Insert,1,14
830,1539042765,Insert,1,8
831,1239087357,Insert,1,11
832,1666366187,Search,1,12
833,1912190137,Insert,1,9
834,1348401741,Search,1,12
835,1496955878,Insert,1,9
836,595683409,Insert,1,11
837,469842642,Insert,1,16
838,1303272792,Search,1,13
839,16298462,Insert,1,8
840,1632558117,Insert,1,14
841,67270418,Insert,1,9
842,1983290404,Search,2,12
843,1609198616,Insert,2,12
844,1204021151,Insert,1,11
845,2043411206,Search,1,11
846,1548806668,Insert,1,7
847,1199183048,Search,1,12
848,417480458,Insert,1,13
849,523834852,Insert,1,14
850,1720431267,Search,1,9
851,542180033,Insert,1,14
852,1479362729,Insert,1,7
853,1188689217,Insert,1,11
854,332994340,Search,1,13
855,469145277,Insert,1,17
856,2099289013,Insert,1,9
857,458800699,Insert,1,16
858,2108324873,Search,2,11
859,458298950,Insert,2,16
860,241684973,Insert,1,10
861,154991360,Search,1,13
862,1167471636,Insert,1,12
863,2004923454,Insert,1,9
864,821913478,Insert,1,11
865,375369634,Insert,1,15
866,2057996110,Search,3,13
867,853114545,Search,1,9
868,336319735,Insert,1,13
869,881034883,Search,1,13
870,1303307710,Insert,1,13
871,1425117182,Search,1,9
872,319893153,Search,1,13
873,783218735,Search,2,8
874,1737644803,Insert,1,9
875,123075264,Insert,1,14
876,1348565417,Search,1,12
877,1032386183,Search,1,17
878,1950425981,Insert,1,14
879,1129203920,Insert,1,12
880,1362162621,Insert,1,12
881,1069938344,Search,1,14
882,1715132470,Insert,3,9
883,478676150,Insert,1,15
884,1957846030,Insert,1,13
885,560792910,Search,1,15
886,37491465,Insert,1,8
887,494974613,Insert,1,16
888,1442920499,Insert,1,9
889,104761883,Insert,1,9
890,2104173229,Insert,1,12
891,992161180,Search,1,16
892,499458003,Insert,1,17
893,1653568551,Insert,1,11
894,1627064453,Search,1,16
895,374170040,Insert,1,16
896,1023292855,Insert,1,13
897,48264937,Insert,1,10
898,1853532769,Insert,1,9
899,1540260893,Search,1,8
900,64498425,Insert,1,11
901,517410214,Insert,1,15
902,1805338134,Insert,1,10
903,523299124,Insert,1,14
904,975709164,Insert,1,17
905,2047023108,Insert,1,12
906,790898627,Search,1,8
907,1690770760,Insert,1,9
908,833148971,Insert,1,10
909,721452938,Insert,1,17
910,2066140394,Insert,1,13
911,2087768536,Search,1,11
912,1169468706,Insert,1,13
913,682489739,Search,1,16
914,2024760649,Insert,1,9
915,1656301549,Insert,1,12
916,1292543970,Insert,1,13
917,1827702982,Insert,1,6
918,638021822,Insert,1,14
919,507222943,Insert,1,14
920,1395351804,Insert,1,13
921,471392173,Search,1,17
922,1116697972,Insert,1,13
923,317585325,Insert,1,14
924,1432843269,Insert,1,9
925,1611672585,Insert,1,13
926,1736064896,Search,1,10
927,1760505825,Insert,1,12
928,659982081,Search,2,14
929,1537605153,Insert,1,9
930,1568362167,Insert,1,11
931,112480180,Insert,2,12
932,120735843,Search,1,15
933,1043690056,Insert,1,17
934,1942532207,Insert,1,13
935,982580465,Search,1,18
936,1135773035,Insert,1,11
937,1091954993,Insert,1,13
938,1648581328,Insert,1,9
939,1200271460,Insert,1,12
940,1609365207,Insert,1,14
941,1306435815,Insert,1,14
942,264584519,Search,1,5
943,1723570584,Insert,1,9
944,437590724,Insert,1,14
945,1205975275,Insert,1,8
946,1266857697,Insert,1,13
947,113403764,Search,1,13
948,681696641,Search,1,14
949,1270739695,Insert,1,13
950,1927428213,Insert,1,10
951,1185514443,Insert,1,12
952,292724753,Insert,1,7
953,1120619008,Search,1,14
954,1804705214,Insert,1,11
955,181303281,Search,1,16
956,694332345,Insert,1,13
957,1585268723,Insert,1,11
958,1484924548,Insert,1,7
959,1332354167,Insert,2,12
960,2092491666,Insert,1,11
961,732792705,Insert,1,12
962,301568491,Insert,1,8
963,1546750528,Search,1,8
964,262593343,Insert,1,5
965,18152326,Insert,1,9
966,1913241077,Insert,1,10
967,2023099168,Insert,1,10
968,1555757479,Insert,1,9
969,1334119596,Insert,1,13
970,2135579348,Insert,1,9
971,451963888,Insert,1,17
972,1129168155,Insert,1,14
973,1123868736,Insert,1,15
974,1543918881,Insert,1,8
975,634024812,Search,1,15
